PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	
90	100	-160	-150	2	94.1	0.46	-157.9	1.344	1.33	0.003	1.454	0.021	0	0	1.525	0.001	1.235	0.001	121.75	0.212	0	0	111.5	1.556	0	0	121.3	0.707	117.65	1.061	122.8	0.283	183.8	2.715	
90	100	-130	-120	2	96	2.242	-126.2	3.246	1.325	0.005	1.454	0.009	0	0	1.531	0.006	1.232	0.014	121.85	0.071	0	0	110.65	0.778	0	0	120.55	0.354	115.5	0.849	123.35	0.071	184.1	0.057	
90	100	-40	-30	1	93.8	0	-33.3	0	1.325	0	1.44	0	0	0	1.53	0	1.244	0	126.1	0	0	0	111.7	0	0	0	118.4	0	119.6	0	120.8	0	179.1	0	
90	100	160	170	7	92.7	2.3	165.2	3.608	1.33	0.014	1.44	0.012	0	0	1.523	0.011	1.226	0.012	121.971	2.35	0	0	113.371	1.567	0	0	122.757	0.702	116.186	1.326	122.943	2.298	181.7	8.33	
90	100	-180	-170	2	93.7	3.571	-174.3	1.831	1.315	0.019	1.461	0.003	0	0	1.509	0	1.244	0.015	119.95	2.758	0	0	112.55	2.333	0	0	123.85	0.212	116.15	0.071	122.7	0.566	187.4	4.476	
90	100	-150	-140	1	94.8	0	-144.6	0	1.341	0	1.429	0	0	0	1.525	0	1.234	0	121.9	0	0	0	113.7	0	0	0	120	0	114.8	0	121.8	0	193	0	
90	100	30	40	2	93.4	3.005	33.7	2.298	1.325	0.017	1.432	0.009	0	0	1.509	0.015	1.241	0.004	123	2.121	0	0	116.15	2.475	0	0	119.8	0.707	117.55	1.909	121.65	0.212	174.4	3.847	
90	100	-120	-110	2	93.3	0.813	-115.9	2.164	1.31	0.037	1.474	0.013	0	0	1.531	0.013	1.217	0.048	123.4	1.556	0	0	111.25	1.202	0	0	119.35	2.475	117.05	0.354	122.5	0.566	175.7	3.281	
90	100	-140	-130	1	97.1	0	-134.8	0	1.327	0	1.447	0	0	0	1.516	0	1.232	0	122.1	0	0	0	112.9	0	0	0	121.5	0	115.6	0	123.2	0	189.4	0	
-130	-120	-30	-20	1	-125.8	0	-27.4	0	1.346	0	1.451	0	0	0	1.525	0	1.25	0	123.3	0	0	0	112	0	0	0	118.4	0	113.6	0	124.7	0	185	0	
-130	-120	130	140	2	-125.5	2.114	138.4	0.346	1.312	0.023	1.462	0.015	0	0	1.508	0.011	1.22	0.004	122.05	0.071	0	0	111.9	0	0	0	119.9	0.707	116.8	0.424	123.6	0.283	178	0.276	
-130	-120	140	150	1	-129.8	0	141.6	0	1.34	0	1.449	0	0	0	1.519	0	1.249	0	120.9	0	0	0	115	0	0	0	121.3	0	113.9	0	123.9	0	178.8	0	
-130	-120	-160	-150	1	-127.5	0	-152	0	1.327	0	1.439	0	0	0	1.536	0	1.205	0	123.3	0	0	0	112.5	0	0	0	123	0	116.6	0	121.4	0	184.4	0	
