PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	Color	X	Y	XLen	YLen	XBin	YBin	
-90	-80	130	140	6	-85.1	3.811	135.5	3.718	1.328	0.015	1.461	0.019	1.528	0.017	1.527	0.014	1.239	0.012	122.033	1.023	109.733	1.274	109.533	1.359	109.233	1.145	119.533	1.109	117.733	1.963	121.95	1.317	178.7	4.35	-0	-90	130	10	10	-9	13	
-90	-80	110	120	3	-86.7	2.59	112.5	2.326	1.326	0.01	1.462	0.005	1.524	0.013	1.531	0.01	1.244	0.002	122.533	0.666	110.267	1.504	108.133	1.96	110.7	0.889	119.6	0.265	117.167	1.45	123.067	1.026	182.1	3.877	-2	-90	110	10	10	-9	11	
-90	-80	170	180	5	-83.8	3.105	176.7	3.247	1.326	0.022	1.464	0.009	0.613	0.839	1.51	0.016	1.245	0.02	121.52	1.875	43.52	59.603	111.14	2.024	45.62	62.48	123.6	1.93	115.52	1.883	123.74	1.083	184.8	3.948	1	-90	170	10	10	-9	17	
-90	-80	150	160	6	-84.2	2.215	155.3	3.226	1.323	0.008	1.459	0.01	1.524	0.026	1.517	0.013	1.246	0.009	122.133	2.558	107.783	3.497	111.15	1.662	109.267	1.275	120.783	1.091	117.5	1.718	122.8	1.231	171.3	6.015	1	-90	150	10	10	-9	15	
-90	-80	-170	-160	2	-84.9	5.65	-167	0.919	1.341	0.012	1.445	0.001	0	0	1.527	0.018	1.23	0.018	121.95	1.344	0	0	112	0.849	0	0	123.1	0.141	117.3	1.414	123	1.414	186.5	1.513	2	-90	-170	10	10	-9	-17	
-90	-80	160	170	6	-84.7	2.841	165.8	3.091	1.33	0.014	1.457	0.009	1.525	0.018	1.513	0.011	1.228	0.021	121.783	1.713	109.05	0.92	111.017	1.396	110.117	2.775	121.333	1.046	116.267	1.601	122.917	0.911	178.9	4.246	1	-90	160	10	10	-9	16	
-90	-80	100	110	1	-83.8	0	109.6	0	1.31	0	1.446	0	1.545	0	1.513	0	1.239	0	126.2	0	110.4	0	109.2	0	110.6	0	118.8	0	117.5	0	121.2	0	189.6	0	-1	-90	100	10	10	-9	10	
-90	-80	140	150	1	-83.6	0	144.7	0	1.349	0	1.456	0	1.542	0	1.533	0	1.249	0	119.2	0	111.6	0	111.1	0	107.6	0	118.7	0	119.1	0	122.5	0	181.1	0	1	-90	140	10	10	-9	14	
-170	-160	150	160	3	-164.7	4.229	155.6	2.682	1.335	0.006	1.461	0.002	1.529	0.01	1.522	0.009	1.239	0.003	122.167	0.603	111.133	1.15	108.233	1.57	110.233	1.002	120.633	1.069	116.233	1.756	121.5	1.819	178.8	6.446	-2	-170	150	10	10	-17	15	
-170	-160	160	170	6	-163.7	4.003	161.2	0.746	1.321	0.01	1.453	0.013	1.544	0.017	1.526	0.019	1.23	0.02	122.767	2.219	111.217	1.153	108.033	0.561	109.617	1.474	120.133	1.221	116.9	2.15	122.733	1.335	174.5	4.446	-2	-170	160	10	10	-17	16	
