PhiStart	PhiStop	PsiStart	PsiStop	Observations	PhiAvg	PhiDev	PsiAvg	PsiDev	L1Avg	L1Dev	L2Avg	L2Dev	L3Avg	L3Dev	L4Avg	L4Dev	L5Avg	L5Dev	a1Avg	a1Dev	a2Avg	a2Dev	a3Avg	a3Dev	a4Avg	a4Dev	a5Avg	a5Dev	a6Avg	a6Dev	a7Avg	a7Dev	OmeAvg	OmeDev	Color	X	Y	XLen	YLen	XBin	YBin	
-70	-60	140	150	138	-64.9	3.022	144.7	3.012	1.33	0.013	1.456	0.011	1.532	0.019	1.523	0.013	1.235	0.013	120.593	1.494	109.938	1.5	110.365	1.357	109.828	1.622	121.419	0.961	117.006	1.836	122.072	1.296	177	6.799	0	-70	140	10	10	-7	14	
-70	-60	130	140	154	-64.6	2.772	134.9	2.85	1.33	0.016	1.455	0.012	1.531	0.017	1.522	0.014	1.236	0.013	120.672	1.966	109.896	1.559	110.125	1.579	110.051	2.024	121.036	1.141	116.941	2.019	121.997	1.593	177.5	5.903	0	-70	130	10	10	-7	13	
-70	-60	150	160	87	-65.6	2.575	154.6	3.133	1.331	0.014	1.455	0.014	1.527	0.017	1.529	0.019	1.234	0.013	120.743	1.811	110.505	1.468	110.602	1.434	109.669	1.732	121.801	1.156	116.868	2.199	122.328	1.325	175.1	6.921	1	-70	150	10	10	-7	15	
-70	-60	120	130	63	-65	2.966	126.7	2.328	1.33	0.015	1.455	0.014	1.528	0.014	1.524	0.013	1.236	0.012	120.987	1.353	109.559	1.351	109.724	1.447	110.346	1.348	120.608	1.281	117.108	1.764	122.216	0.976	181.4	5.155	-0	-70	120	10	10	-7	12	
-70	-60	170	180	6	-65.7	1.671	172.9	3.343	1.326	0.009	1.455	0.015	1.528	0.019	1.528	0.012	1.231	0.008	120.267	1.533	109.117	1.144	109.833	1.093	111.333	2.19	121.85	0.918	115.483	1.187	123.167	1.227	182.1	7.63	-0	-70	170	10	10	-7	17	
-70	-60	110	120	8	-67	2.063	116.9	2.728	1.327	0.013	1.46	0.009	1.531	0.007	1.524	0.015	1.238	0.007	121.4	1.089	109.338	1.892	109.488	1.615	110.925	1.077	120.7	0.758	117.325	2.113	122.263	1.761	181.8	3.342	-1	-70	110	10	10	-7	11	
-70	-60	30	40	1	-69.5	0	33.8	0	1.333	0	1.485	0	1.531	0	1.508	0	1.237	0	131.7	0	108.2	0	107.7	0	108	0	119.8	0	118.2	0	122.8	0	189.8	0	-2	-70	30	10	10	-7	3	
-70	-60	10	20	1	-65.1	0	11.9	0	1.189	0	1.578	0	1.506	0	1.249	0	1.39	0	141.6	0	120.7	0	119	0	114.6	0	95.7	0	122.1	0	118.8	0	222.6	0	9	-70	10	10	10	-7	1	
-70	-60	-70	-60	2	-67.2	1.704	-67.1	3.797	1.324	0.01	1.465	0.016	1.528	0.011	1.535	0.002	1.237	0.003	121.35	0.071	109.8	0.707	111.15	1.202	112.15	0.495	120.3	1.131	117.35	0.212	122.3	0.283	186.1	4.08	1	-70	-70	10	10	-7	-7	
-70	-60	100	110	1	-69.8	0	109.1	0	1.345	0	1.461	0	1.524	0	1.53	0	1.224	0	120.6	0	110.6	0	108.4	0	113.1	0	120.7	0	115.1	0	123.3	0	190.4	0	-2	-70	100	10	10	-7	10	
